"Распределение приема, численности студентов и выпуска специалистов организаций, осуществляющих образовательную деятельность по образовательным программам высшего образования (бакалавриат, специалитет, магистратура), в разрезе субъектов Российской Федерации","","","","","","","","","","","","","","","","","","","","","","","","",""
" (без учета обучающихся в соответствии установленной Правительством Российской Федерации квотой на образование иностранных граждан и лиц без гражданства)","","","","","","","","","","","","","","","","","","","","","","","","",""
"Всего","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Число самостоятельных организаций","","","","Число филиалов самостоя- тельных  организа-
ций","Численность студентов, человек","","","","Численность студентов в филиалах, человек
(из гр. 7)","из общей численности студентов - женщины, человек","","","","Принято, человек","","","","Выпущено, человек","","","","","из гр.2 число организаций высшего образования","из гр.6 число филиалов организаций высшего образования"
"","Всего","в том числе:","","","","Всего","в том числе по формам обучения:","","","","Всего","в % к общему числу","из обучавшихся по очной форме обучения","","Всего","в том числе по формам обучения:","","","Всего","в том числе по формам обучения:","","","аттеста-ция экстер-нов","",""
"","","Автоном- ные","Бюджет- ные","Казенные","","","очная","очно-заочная (вечерняя)","заочная","","","","Всего","в % к числу студентов очной формы обучения","","очная","очно-заочная (вечерняя)","заочная","","очная","очно-заочная (вечерняя)","заочная","","",""
"1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"Российская Федерация","724","59","436","1","524","4325280","2670141","479567","1175572","498319","2192862","50.7","1318278","49.4","1287601","784235","192890","310476","805932","485044","48097","270814","1977","711","523"
"Центральный федеральный округ","266","21","135","1","119","1490826","888434","241461","360931","100101","748968","50.2","430981","48.5","459197","261476","99851","97870","288634","168047","25409","94388","790","258","119"
"   Белгородская область","6","1","3","0","6","48190","28044","1988","18158","6548","23177","48.1","13125","46.8","14155","8479","731","4945","9320","4762","146","4412","0","6","6"
"   Брянская область","5","0","4","0","4","22772","11718","2085","8969","2821","10120","44.4","4975","42.5","6079","3324","688","2067","4406","2155","233","2018","0","5","4"
"   Владимирская область","2","0","2","0","7","24713","11612","4494","8607","9023","12030","48.7","5516","47.5","8134","3370","1703","3061","5184","2204","540","2440","0","2","7"
"   Воронежская область","16","1","9","0","10","88583","52942","4863","30778","7523","44472","50.2","26820","50.7","25034","14933","1829","8272","17482","10320","494","6668","0","16","10"
"   Ивановская область","6","0","6","0","5","23383","15255","2300","5828","4737","11162","47.7","7443","48.8","6877","4196","1196","1485","4607","2778","257","1572","0","6","5"
"   Калужская область","4","0","1","0","8","20024","11706","1979","6339","11706","10648","53.2","5749","49.1","5695","3183","730","1782","3768","2038","135","1595","0","4","8"
"   Костромская область","2","0","2","0","0","9508","5706","714","3088","0","4975","52.3","2881","50.5","2637","1683","316","638","1775","989","84","702","0","2","0"
"   Курская область","8","1","4","0","2","37266","20090","3312","13864","973","20212","54.2","10931","54.4","10025","5435","1143","3447","7363","3692","167","3504","0","8","2"
"   Липецкая область","4","0","3","0","6","18620","10800","4093","3727","5519","8931","48","5228","48.4","5279","2964","1140","1175","3941","2096","526","1316","3","4","6"
"   Московская область","25","3","10","1","34","72271","39799","9698","22774","18160","36715","50.8","19377","48.7","18871","10364","3246","5261","14579","8365","751","5463","0","23","34"
"   Орловская область","3","0","3","0","5","26846","14765","3101","8980","6309","14256","53.1","7510","50.9","8818","4544","1384","2890","5401","3155","272","1974","0","3","5"
"   Рязанская область","6","0","4","0","2","29401","17372","3195","8834","3983","15043","51.2","9075","52.2","8115","4624","1500","1991","5494","3068","216","2210","0","6","2"
"   Смоленская область","6","0","5","0","10","22422","13770","1841","6811","7973","12219","54.5","7423","53.9","5621","3369","598","1654","4136","2444","37","1655","0","6","10"
"   Тамбовская область","5","0","4","0","3","30930","15555","2874","12501","1955","14708","47.6","7445","47.9","9404","4495","1257","3652","5780","2962","270","2548","0","5","3"
"   Тверская область","6","0","5","0","3","22303","14445","1819","6039","1797","11326","50.8","7515","52","6058","3929","739","1390","4432","2926","51","1455","0","5","3"
"   Тульская область","6","0","2","0","6","32380","16815","3254","12311","6068","15602","48.2","7821","46.5","8926","4559","1321","3046","6145","3149","475","2521","0","6","6"
"   Ярославская область","8","0","7","0","5","31469","20245","2361","8863","3384","17353","55.1","10841","53.5","8557","5528","1052","1977","5278","3472","168","1638","0","8","5"
"   г.Москва","148","15","61","0","3","929745","567795","187490","174460","1622","466019","50.1","271306","47.8","300912","172497","79278","49137","179543","107472","20587","50697","787","143","3"
"Северо-Западный федеральный округ","86","11","47","0","37","449376","324926","27410","97040","46387","235401","52.4","166569","51.3","130850","98260","10114","22476","81921","59215","2666","19650","390","83","37"
"   Республика Карелия","2","0","2","0","2","10925","7996","617","2312","1552","5947","54.4","4290","53.7","2838","2049","205","584","1786","1294","67","425","0","2","2"
"   Республика Коми","3","1","2","0","3","13110","7605","934","4571","2407","6073","46.3","3424","45","3382","2137","328","917","1985","921","57","1007","0","3","3"
"   Архангельская область","3","1","1","0","3","17816","12931","1058","3827","2577","9679","54.3","6970","53.9","4965","3720","366","879","2743","2001","97","645","0","3","3"
"   Вологодская область","5","0","4","0","2","18908","10685","1511","6712","1847","9793","51.8","5274","49.4","5010","3061","543","1406","3137","1643","85","1409","0","4","2"
"   Калининградская область","3","1","1","0","5","21945","15019","1053","5873","5840","11391","51.9","7909","52.7","6372","4592","352","1428","3297","2261","3","1033","0","3","5"
"   Ленинградская область","1","1","0","0","8","6349","2724","878","2747","3950","4293","67.6","1692","62.1","1660","794","315","551","817","484","43","290","0","1","8"
"   Мурманская область","3","1","1","0","3","7477","4144","423","2910","1955","2848","38.1","1795","43.3","2187","1255","174","758","1065","611","29","425","0","2","3"
"   Новгородская область","1","0","1","0","1","9825","6640","523","2662","367","5166","52.6","3340","50.3","3430","2299","289","842","1497","885","29","583","0","1","1"
"   Псковская область","4","0","3","0","4","11137","6504","746","3887","675","5853","52.6","3266","50.2","2951","1777","291","883","1953","1032","51","870","0","4","4"
"   г.Санкт-Петербург","61","6","32","0","6","331884","250678","19667","61539","25217","174358","52.5","128609","51.3","98055","76576","7251","14228","63641","48083","2205","12963","390","60","6"
"   Ненецкий автономный округ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Южный федеральный округ","57","5","34","0","85","397725","239053","40740","117932","84520","200572","50.4","116716","48.8","114949","69011","15724","30214","78000","45951","3834","27754","461","57","85"
"   Республика Адыгея","2","0","2","0","1","15142","8117","2614","4411","1020","6719","44.4","4016","49.5","4518","1991","1140","1387","3181","1641","331","1198","11","2","1"
"   Республика Калмыкия","1","0","1","0","1","8753","4324","815","3614","1100","4067","46.5","1983","45.9","2071","1283","129","659","1534","1088","0","446","0","1","1"
"   Краснодарский край","17","0","9","0","28","103364","60703","11263","31398","21397","57321","55.5","31462","51.8","29545","17425","4183","7937","20810","11934","911","7816","149","17","28"
"   Астраханская область","6","1","4","0","7","28178","17703","2484","7991","3168","13803","49","8978","50.7","8427","5356","759","2312","5691","3563","427","1700","1","6","7"
"   Волгоградская область","12","1","8","0","11","59439","35877","6024","17538","11113","28992","48.8","17478","48.7","17404","10506","2460","4438","10581","6299","495","3786","1","12","11"
"   Ростовская область","12","1","7","0","25","135153","77570","15219","42364","38876","65111","48.2","35581","45.9","39314","22486","6169","10659","26570","14986","1453","9844","287","12","25"
"   Республика Крым","6","1","3","0","7","32715","23940","1617","7158","4665","17600","53.8","12190","50.9","8797","6567","635","1595","6740","4502","140","2098","0","6","7"
"   г.Севастополь","1","1","0","0","5","14981","10819","704","3458","3181","6959","46.5","5028","46.5","4873","3397","249","1227","2893","1938","77","866","12","1","5"
"Северо-Кавказский федеральный округ","41","3","22","0","40","212563","121728","22262","68573","35384","102861","48.4","58504","48.1","58298","34380","7678","16240","40500","21827","2526","15824","323","41","40"
"   Республика Дагестан","13","1","5","0","15","53357","28274","4237","20846","10591","25050","46.9","13460","47.6","13404","7823","1051","4530","10399","4913","645","4560","281","13","15"
"   Республика Ингушетия","2","0","1","0","0","7732","4407","707","2618","0","3876","50.1","2420","54.9","2441","1330","473","638","1657","804","69","784","0","2","0"
"   Кабардино-Балкарская Республика","3","0","3","0","0","16065","12847","1010","2208","0","7860","48.9","6070","47.2","4708","3918","323","467","2936","2238","51","647","0","3","0"
"   Карачаево-Черкесская Республика","2","0","2","0","3","10602","5919","1003","3680","1279","4743","44.7","2698","45.6","3198","1600","713","885","2331","1266","11","1054","0","2","3"
"   Республика Северная Осетия - Алания","5","0","4","0","1","20732","14149","1497","5086","851","9510","45.9","6727","47.5","5497","3671","493","1333","3750","2635","106","1009","0","5","1"
"   Чеченская Республика","3","0","3","0","2","37600","17527","5699","14374","1064","18304","48.7","7114","40.6","10317","5476","1885","2956","5778","2502","587","2689","0","3","2"
"   Ставропольский край","13","2","4","0","19","66475","38605","8109","19761","21599","33518","50.4","20015","51.8","18733","10562","2740","5431","13649","7469","1057","5081","42","13","19"
